TradeId,Expiry,CP,2weeks2Mat,Strike,LocalCap,Book,Notional,PresentValueT0,assetId,deltaT0,gammaT0,vegaT0,PresentValueT1,deltaT1,gammaT1,vegaT1,dPx,ddelta,dgamma,dvega
970470,2026-01-21,ZTES,127,1705.215,10,AXALIAB,10000000,1175019.593,.RUT,"1,353 ",13.62,-125479.23,1205549.21,1349.18,-1.12,-128406.58,-0.003052961,3.67887E-07,1.47429E-06,0.000292735
975412,2025-02-05,ZTES,102,1677.457,8.8,AXALIAB,10000000,730150.5573,.RUT,"1,243 ",-2.48,-102685.39,753656.40,1252.35,-2.89,-110552.71,-0.002350584,-9.44195E-07,4.15955E-08,0.000786732
975415,2026-02-04,ZTES,128,1677.457,10,AXALIAB,10000000,1180345.263,.RUT,"1,351 ",-0.58,-127353.42,1197904.69,1318.64,-0.52,-119769.36,-0.001755943,3.20105E-06,-6.80442E-09,-0.000758406
980584,2025-02-19,ZTES,103,1696.069,8.5,AXALIAB,10000000,524006.2317,.RUT,"1,401 ",-1.66,-108659.79,550636.74,1398.62,-6.45,-107535.67,-0.002663051,2.2755E-07,4.79028E-07,-0.000112412
980587,2026-02-18,ZTES,129,1696.069,10,AXALIAB,10000000,1022342.104,.RUT,"1,575 ",-6.20,-109842.31,1044027.35,1485.46,7.53,-98806.71,-0.002168524,8.97708E-06,-1.37229E-06,-0.00110356
989801,2025-03-05,ZTES,104,1478.824,9,AXALIAB,10000000,724344.4329,.RUT,"1,377 ",-2.42,-109865.90,750717.37,1356.93,-4.48,-109250.88,-0.002637293,1.98392E-06,2.0585E-07,-6.1502E-05
989809,2026-03-04,ZTES,130,1478.824,10,AXALIAB,10000000,1089198.949,.RUT,"1,482 ",1.19,-142091.39,1108515.26,1405.28,-0.39,-99838.61,-0.001931631,7.72124E-06,1.58244E-07,-0.004225278
1005513,2025-03-19,ZTES,105,1058.749,19.2,AXALIAB,10000000,2418671.747,.RUT,(15),-21.88,-66369.22,2422981.66,-3.40,0.47,-58788.97,-0.000430991,-1.15973E-06,-2.23519E-06,-0.000758025
1005516,2026-03-18,ZTES,131,1058.749,10,AXALIAB,10000000,831556.6538,.RUT,(5),6.83,-113716.71,861326.04,-130.14,-56.15,-101415.53,-0.002976939,1.24679E-05,6.29863E-06,-0.001230117
1013759,2025-04-02,ZTES,106,1085.808,12,AXALIAB,10000000,1118661.781,.RUT,(6),-1.64,-91180.39,1095208.06,-0.09,0.13,-86561.09,0.002345372,-5.62066E-07,-1.76745E-07,-0.00046193
